"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
371601,"Bacteroides xylanisolvens",3424560,0.213013136046422,3313402.2,0.206098945140726,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens","Bacteroides","Bacteroides xylanisolvens",69,0.88,0.98,1,0.08,"Bacteroides acidifaciens, Bacteroides sp. 1_1_30, Bacteroides sp. AM16-13, Bacteroides sp. AM37-9, Bacteroides sp. MSK.20.12, Bacteroides xylanisolvens"
33039,"[Ruminococcus] torques",1639248,0.101963860244185,1624264.3,0.101031847747787,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques","Mediterraneibacter","[Ruminococcus] torques",73,0.9,0.92,0.96,0.4,"[Ruminococcus] torques, Mediterraneibacter sp."
330879,"Aspergillus fumigatus",1160420,0.0721799890587373,1160406,0.0721791198736805,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","Aspergillus","Aspergillus fumigatus",19,1,1,0.816326530612245,0.0408163265306122,"Aspergillus fumigatus"
338188,"Bacteroides finegoldii",1047095,0.0651309919197002,1088511.8,0.0677071824969296,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii","Bacteroides","Bacteroides finegoldii",43,0.96,1,1,0.1,"Bacteroides difficilis, Bacteroides finegoldii, Bacteroides sp. NSJ-39, Bacteroides zhangwenhongii"
818,"Bacteroides thetaiotaomicron",906854,0.0564077763205323,927084.4,0.0576661366532286,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides","Bacteroides thetaiotaomicron",15,1,1,0.98,0.04,"Bacteroides sp. 1_1_14, Bacteroides sp. AM23-12, Bacteroides sp. AR20, Bacteroides sp. B1-V-101, Bacteroides thetaiotaomicron"
1955243,"Blautia sp.",880813,0.0547879842667255,832545.4,0.0517856607350239,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp.","Blautia","0",37,0.38,1,1,0.08,"Blautia celeris, Blautia parvula, Blautia sp. AF13-16, Blautia sp. C3-R-101, Blautia sp. ICN-22010, Blautia sp. LMAG:75, Blautia sp. NSJ-159, Blautia sp. NSJ-165, Blautia sp. OF01-4LB"
853,"Faecalibacterium prausnitzii",746242,0.0464174517805366,742242.3,0.0461686611773691,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium","Faecalibacterium prausnitzii",47,0.96,1,0.96,0.1,"Faecalibacterium intestinale, Faecalibacterium prausnitzii, Faecalibacterium sp., Faecalibacterium sp. I4-1-79, Faecalibacterium sp. IP-1-18, Faecalibacterium tardum"
40520,"Blautia obeum",631029,0.0392510180070543,648287.9,0.0403245464453439,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia","Blautia obeum",36,0.98,1,0.96,0.16,"Blautia obeum, Blautia schinkii, Blautia sp. 210820-DFI.6.14"
2787083,"Bacteroides sp. 1001136B_160425_E2",493091,0.030671052709331,513801.7,0.0319592913231532,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. 1001136B_160425_E2","Bacteroides","Bacteroides sp. 1001136B_160425_E2",58,0.96,1,0.82,0.06,"Bacteroides sp. 1001136B_160425_E2"
292800,"Flavonifractor plautii",462854,0.0287902627115982,462806.4,0.028787300112329,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii","Flavonifractor","Flavonifractor plautii",27,1,1,0.9,0.14,"Flavonifractor plautii, Flavonifractor sp."
1034346,"Dielma fastidiosa",454240,0.028254458066942,455738,0.0283476385773433,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma","Dielma fastidiosa","Dielma","Dielma fastidiosa",18,1,1,0.16,0.16,"Dielma fastidiosa"
594,"Salmonella enterica",321748,0.0200132427221787,321528.4,0.0199995828742479,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","Salmonella","Salmonella enterica",96,0.92,0.92,0.98,0.3,"Salmonella enterica"
817,"Bacteroides fragilis",287071,0.0178562775883566,277931.5,0.0172877833608828,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides","Bacteroides fragilis",66,0.86,1,0.46,0.32,"Bacteroides fragilis"
1108849,"Penicillium rubens",285883,0.0177823820789705,285434.1,0.0177544581147653,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium rubens","Penicillium","Penicillium rubens",28,1,1,0.96,0.02,"Penicillium chrysogenum, Penicillium mononematosum, Penicillium rubens"
328812,"Parabacteroides goldsteinii",263523,0.0163915541413675,266221.4,0.0165593981378578,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii","Parabacteroides","Parabacteroides goldsteinii",22,1,1,0.98,0.06,"Parabacteroides goldsteinii, Parabacteroides sp. AF17-3, Parabacteroides sp. ASF519, Parabacteroides sp. P14"
2025659,"Bacteroides sp. KFT8",242447,0.0150805930674443,231907.1,0.0144249946694671,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. KFT8","Bacteroides","Bacteroides sp. KFT8",46,0.9,1,0.92,0.02,"Bacteroides sp. AF26-7BH, Bacteroides sp. AF27-33, Bacteroides sp. KFT8, Bacteroides sp. M10, Bacteroides sp. OF02-3LB, Bacteroides sp. OM05-10AA, Candidatus Bacteroides intestinigallinarum"
29523,"Bacteroides sp.",196871,0.0122456926164515,228563.8,0.0142170327143072,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp.","Bacteroides","Bacteroides caccae",19,0.86,0.9,1,0.16,"Bacteroides caccae, Bacteroides sp., Bacteroides sp. 43_46"
487174,"Barnesiella intestinihominis",181988,0.0113199460960872,177475.6,0.0110392660036746,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Barnesiella","Barnesiella intestinihominis",29,0.88,0.88,1,0.2,"Barnesiella intestinihominis, Barnesiella sp., Barnesiella sp. B2-R-119"
1311,"Streptococcus agalactiae",178025,0.0110734411266453,178139.3,0.0110805477867506,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae","Streptococcus","Streptococcus agalactiae",46,0.9,0.96,0.72,0.1,"Streptococcus agalactiae"
2292286,"Blautia sp. OF01-4LB",154543,0.00961282298573313,197239.6,0.0122686199467385,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp. OF01-4LB","Blautia","Blautia sp. RD014232",55,0.98,1,1,0.24,"Blautia celeris, Blautia parvula, Blautia sp. AF13-16, Blautia sp. C3-R-101, Blautia sp. ICN-22010, Blautia sp. LMAG:75, Blautia sp. NSJ-159, Blautia sp. NSJ-165, Blautia sp. OF01-4LB"
649756,"Anaerostipes hadrus",149922,0.00932538935873564,148933.9,0.00926392696147185,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes","Anaerostipes hadrus",30,0.96,0.96,0.48,0.2,"Anaerostipes hadrus"
39491,"Agathobacter rectalis",124756,0.00776002371125268,125446.5,0.00780297427248483,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter","Agathobacter rectalis",59,0.92,0.94,0.84,0.24,"Agathobacter rectalis, Agathobacter sp."
89153,"[Clostridium] hylemonae",123187,0.007662429389513,123270.5,0.00766762486516812,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","[Clostridium] hylemonae","Lachnoclostridium","[Clostridium] hylemonae",19,0.98,1,0.4,0.38,"[Clostridium] hylemonae"
1297617,"Intestinimonas butyriciproducens",99132,0.00616616972765959,99857.3,0.0062112836115922,"Bacteria","Bacillota","Clostridia","Eubacteriales","0","Intestinimonas","Intestinimonas butyriciproducens","Intestinimonas","Intestinimonas butyriciproducens",42,1,1,0.96,0.34,"Intestinimonas butyriciproducens, Intestinimonas sp. RTP31139st1_F5_RTP31139_211217"
2787128,"Alistipes sp. D31t1_170403_E11",96018,0.00597247392275369,96048,0.00597433884767393,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes sp. D31t1_170403_E11","Alistipes","Alistipes sp. D31t1_170403_E11",18,1,1,0.86,0.02,"Alistipes montrealensis, Alistipes sp. D31t1_170403_E11"
821,"Phocaeicola vulgatus",90522,0.00563061388943229,106753.1,0.00664021300647128,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus","Phocaeicola","0",92,0.86,0.88,0.96,0.36,"Phocaeicola sp. RTP21359st1_B8_RTP21360_211022, Phocaeicola sp. RTP21359st1_E3_RTP21360_211022, Phocaeicola sp. RTP21359st1_F5_RTP21360_211022, Phocaeicola sp. RTP21359st1_F7_RTP21360_211022, Phocaeicola vulgatus"
858893,"Exophiala dermatitidis",81580,0.00507440711760551,81580,0.00507440711382216,"Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala dermatitidis","Exophiala","Exophiala dermatitidis",3,1,1,0.08,0.08,"Exophiala dermatitidis"
33038,"Mediterraneibacter gnavus",78357,0.00487393133751183,78832.3,0.00490349490401263,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter gnavus","Mediterraneibacter","Mediterraneibacter gnavus",40,0.96,0.96,0.26,0.26,"Mediterraneibacter gnavus"
301301,"Roseburia hominis",77619,0.00482802655137806,78627.4,0.0048907513901073,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis","Roseburia","Roseburia hominis",57,0.96,0.96,0.38,0.32,"Roseburia hominis"
626939,"Phascolarctobacterium succinatutens",75807,0.00471531723908214,75973.6,0.00472567720615062,"Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens","Phascolarctobacterium","Phascolarctobacterium succinatutens",12,1,1,0.92,0.06,"Phascolarctobacterium sp., Phascolarctobacterium sp. Marseille-Q4147, Phascolarctobacterium succinatutens, uncultured Phascolarctobacterium sp."
155615,"Fusobacterium vincentii",73360,0.00456310990619687,73359.9,0.00456310173754488,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium vincentii","Fusobacterium","Fusobacterium vincentii",13,1,1,1,0,"Fusobacterium nucleatum, Fusobacterium sp. HMSC064B12, Fusobacterium vincentii"
28025,"Bifidobacterium animalis",70351,0.00437594527004983,70372,0.00437725103557663,"Bacteria","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis","Bifidobacterium","Bifidobacterium animalis",3,1,1,0.04,0,"Bifidobacterium animalis"
1196081,"Talaromyces amestolkiae",60809,0.00378241753388666,60808.4,0.00378237870299478,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces amestolkiae","Talaromyces","Talaromyces amestolkiae",9,1,1,0.22,0.08,"Talaromyces amestolkiae"
36656,"Penicillium crustosum",59372,0.00369303382430099,59688,0.00371268877937882,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium crustosum","Penicillium","Penicillium crustosum",24,1,1,0.86,0,"Penicillium crustosum"
2479767,"Blautia sp. SC05B48",58096,0.00361366457347891,59826.7,0.00372131726900844,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp. SC05B48","Blautia","Blautia sp. SC05B48",84,0.9,0.98,1,0.6,"Blautia fusiformis, Blautia massiliensis (ex Durand et al. 2017), Blautia massiliensis (ex Liu et al. 2021), Blautia sp., Blautia sp. 2227st1_G12_2227SCRN_220401, Blautia sp. NSJ-140, Blautia sp. NSJ-157, Blautia sp. SC05B48"
53442,"Eubacterium callanderi",57677,0.00358760210005066,57902.5,0.00360162645473995,"Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium callanderi","Eubacterium","Eubacterium callanderi",24,0.98,0.98,1,0.08,"Eubacterium callanderi, Eubacterium limosum, Eubacterium sp. BL-380-WT-2B"
5068,"Aspergillus tubingensis",51388,0.00319641619219799,51351.6,0.00319415452950609,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus tubingensis","Aspergillus","Aspergillus tubingensis",11,1,1,0.94,0,"Aspergillus costaricensis, Aspergillus eucalypticola, Aspergillus luchuensis, Aspergillus neoniger, Aspergillus niger, Aspergillus piperis, Aspergillus tubingensis, Aspergillus vadensis, Aspergillus welwitschiae"
1703332,"Butyribacter intestini",47433,0.0029504088356139,47960.1,0.00298319455268627,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter","Butyribacter intestini","Butyribacter","Butyribacter intestini",39,1,1,0.98,0.98,"Butyribacter intestini, Butyribacter sp."
40545,"Sutterella wadsworthensis",27796,0.00172895587449084,27806.9,0.00172963297668943,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella wadsworthensis","Sutterella","Sutterella wadsworthensis",31,1,1,0.88,0.22,"Sutterella sp., Sutterella sp. KLE1602, Sutterella wadsworthensis"
28118,"Odoribacter splanchnicus",27046,0.00168230466907034,26316.3,0.00163691675942962,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus","Odoribacter","Odoribacter sp.",26,1,1,0.98,0.18,"Odoribacter sp., Odoribacter sp. N15.MGS-14, Odoribacter sp. N54.MGS-14, Odoribacter splanchnicus"
2601632,"Pawinskivirus PS119XW",24261,0.00150907319294223,24261,0.00150907319294227,"0","Uroviricota","Caudoviricetes","0","Chimalliviridae","Pawinskivirus","Pawinskivirus PS119XW","Pawinskivirus","Pawinskivirus PS119XW",4,1,1,0.02,0.02,"Pawinskivirus PS119XW"
