"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
2302957,"Faecalibacterium sp. AM43-5AT",3353017,0.210002704405249,3345815.2,0.209551650682678,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium sp. AM43-5AT","Faecalibacterium","Faecalibacterium sp. AM43-5AT",65,0.96,1,1,0.16,"Faecalibacterium sp. AF10-46, Faecalibacterium sp. AM43-5AT, Faecalibacterium sp. OF03-6AC"
2763022,"Bacteroides sp. M10",1858635,0.116408111411976,1847401,0.115704517634295,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. M10","Bacteroides","Bacteroides sp. M10",48,0.94,1,1,0,"Bacteroides sp. AF26-7BH, Bacteroides sp. AF27-33, Bacteroides sp. M10, Bacteroides sp. OF02-3LB, Bacteroides sp. OM05-10AA, Candidatus Bacteroides intestinigallinarum"
39491,"Agathobacter rectalis",1270728,0.0795869262110731,1260475.5,0.0789448048793287,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter","Agathobacter rectalis",47,0.96,0.96,0.98,0.24,"Agathobacter rectalis, Agathobacter sp."
330879,"Aspergillus fumigatus",871420,0.0545778791675743,871407.7,0.0545771099291163,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","Aspergillus","Aspergillus fumigatus",22,1,1,0.68,0.12,"Aspergillus fumigatus"
2293028,"Clostridium sp. AM29-11AC",826170,0.0517438278119332,825929,0.0517287309769292,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. AM29-11AC","Clostridium","Clostridium sp. AM29-11AC",84,0.96,1,0.9,0.38,"Clostridium sp. AM29-11AC, Clostridium sp. M62/1"
2292910,"Alistipes sp. AF14-19",677523,0.0424339221354254,673648.8,0.0421912743127641,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes sp. AF14-19","Alistipes","0",39,0.94,1,1,0.12,"Alistipes shahii, Alistipes sp. 56_sp_Nov_56_25, Alistipes sp. AF14-19, Alistipes sp. i18-0019-D1"
649756,"Anaerostipes hadrus",636974,0.0398942989659251,640489.4,0.0401144692985113,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","Anaerostipes","Anaerostipes hadrus",28,1,1,0.54,0.16,"Anaerostipes hadrus"
626937,"Christensenella minuta",509789,0.0319285791500752,503855,0.031556928489881,"Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenella","Christensenella minuta","Christensenella","Christensenella minuta",28,1,1,0.46,0.18,"Christensenella minuta"
239935,"Akkermansia muciniphila",498122,0.0311978636325887,498086.1,0.0311956160640113,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia","Akkermansia muciniphila",20,0.98,1,0.98,0.04,"Akkermansia muciniphila, Akkermansia sp. 54_46, Akkermansia sp. UBA7059, Akkermansia sp. UNK.MGS-1"
40520,"Blautia obeum",438937,0.0274910497213486,444964,0.0278685296717015,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia","Blautia obeum",60,0.94,1,0.96,0.16,"Blautia obeum, Blautia schinkii, Blautia sp. 210820-DFI.6.14"
823,"Parabacteroides distasonis",354240,0.0221863945242495,346280.6,0.0216878870145469,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Parabacteroides","Parabacteroides distasonis",65,0.88,0.94,1,0.2,"Parabacteroides distasonis, Parabacteroides sp. 2_1_7, Parabacteroides sp. 20_3, Parabacteroides sp. AF39-10AC, Parabacteroides sp. AM25-14, Parabacteroides sp. CAG:2, Parabacteroides sp. CT06, Parabacteroides sp. LFL-25, Parabacteroides sp. OF04-13BH"
1186058,"Trichosporon asahii",329965,0.020666027747273,329964.4,0.0206659929787596,"Eukaryota","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon asahii","Trichosporon","Trichosporon asahii",20,1,1,0.18,0.18,"Trichosporon asahii"
1851429,"Christensenella intestinihominis",287821,0.0180265081819219,291937.7,0.0182843423084167,"Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenella","Christensenella intestinihominis","Christensenella","Christensenella intestinihominis",28,1,1,0.34,0.14,"Christensenella intestinihominis"
2986997,"Romboutsia sp. 1001216sp1",277884,0.0174041442411262,278473.4,0.0174410577560264,"Bacteria","Bacillota","Clostridia","Peptostreptococcales","Peptostreptococcaceae","Romboutsia","Romboutsia sp. 1001216sp1","Romboutsia","Romboutsia sp. 1001216sp1",9,1,1,0.96,0,"Romboutsia hominis, Romboutsia sp. 1001216sp1, Romboutsia sp. 1001285H_161024_C4, Romboutsia sp. D33t1_170424_H2, Romboutsia sp. MSSM.1001216sp_RTP31141st1_F12_RTP31141_220114"
