TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,best_hit_species,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,species_group_names,blast_validated
2714353,Vescimonas fastidiosa,5382717,0.342132571106043,5372138.8,0.34146020640862,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Vescimonas,Vescimonas fastidiosa,Vescimonas,Vescimonas fastidiosa,79,0.96,0.96,0.64,0.52,Vescimonas fastidiosa,TRUE
853,Faecalibacterium prausnitzii,1136600,0.072243790695132,1131101.1,0.0718942716789673,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium,Faecalibacterium prausnitzii,53,0.98,1,1,0.12,"Faecalibacterium intestinale, Faecalibacterium prausnitzii, Faecalibacterium sp., Faecalibacterium sp. IP-1-18, uncultured Faecalibacterium sp.",TRUE
29347,[Clostridium] scindens,1060630,0.0674150375901617,1059625.3,0.0673511759883152,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,Lachnoclostridium,[Clostridium] scindens,39,0.98,0.98,0.22,0.22,[Clostridium] scindens,TRUE
2981728,Huintestinicola butyrica,729012,0.0463369614131969,730279.9,0.0464175506270696,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Huintestinicola,Huintestinicola butyrica,Huintestinicola,Huintestinicola butyrica,29,0.98,0.98,0.9,0.2,"Huintestinicola butyrica, Huintestinicola sp.",TRUE
871665,Blautia faecis,606670.333333333,0.0385607641934535,605771.9,0.0385036586913441,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia faecis,Ruminococcus,Blautia faecis,66,0.88,1,1,0.98,"Ruminococcus sp. 1001136sp1, Ruminococcus sp. 1001136sp1_2201st1_G3_2201SCRN_220225, Ruminococcus sp. 1001713B170214_170313_A12, Ruminococcus sp. AM42-11, Ruminococcus sp. J1101004sp1_RTP21198st1_B9_RTP21198_201120, Ruminococcus sp. Marseille-P328, Ruminococcus sp. RTP21358st1_G6_RTP21358_211008, Ruminococcus sp. RTP21484sp1_RTP21281st1_A2_RTP21281_210402",TRUE
2292959,Blautia sp. AF17-9LB,487226,0.0309687252905388,493005,0.0313360485536461,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp. AF17-9LB,Blautia,Blautia sp. AF17-9LB,54,1,1,0.96,0.9,Blautia sp. AF17-9LB,TRUE
36656,Penicillium crustosum,444399,0.0282465848505419,444395.7,0.028246371921989,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium crustosum,Penicillium,Penicillium crustosum,19,1,1,0.84,0.02,Penicillium crustosum,TRUE
817,Bacteroides fragilis,428319,0.0272245189044063,396649.2,0.025211544959151,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides,Bacteroides fragilis,49,0.94,0.98,0.42,0.12,Bacteroides fragilis,TRUE
28129,Prevotella denticola,389631,0.0247654587474353,388408.2,0.024687736357409,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,Prevotella,Prevotella denticola,32,0.98,1,0.74,0.16,"Prevotella denticola, Prevotella multiformis",TRUE
2093857,Dysosmobacter welbionis,369129,0.0234623246661124,366965.6,0.0233248144266309,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,Oscillibacter,Oscillibacter acetigenes,17,1,1,1,1,"Oscillibacter acetigenes, Oscillibacter sp., Oscillibacter sp. KLE 1728, Oscillibacter sp. PEA192",TRUE
2763023,Bacteroides hominis,335465,0.0213225965559937,364588.9,0.0231737508099085,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides hominis,Bacteroides,Bacteroides hominis,10,1,1,1,0,"Bacteroides hominis, Bacteroides sp. 11BF, Bacteroides sp. 47, Bacteroides sp. FSHCM14E1, Bacteroides sp. NGMCC 1.200775, Bacteroides sp. PHL 2737, Bacteroides sp. UW, Bacteroides sp. ZJ-18, Bacteroides sp. ZJ-21",TRUE
1196081,Talaromyces amestolkiae,302541,0.0192299038190181,302543.3,0.0192300493572875,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces amestolkiae,Talaromyces,Talaromyces amestolkiae,5,1,1,0.2,0.02,Talaromyces amestolkiae,TRUE
3136601,Owariibacterium komagatae,294689,0.0187308203731812,295642.7,0.0187914393965012,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Owariibacterium,Owariibacterium komagatae,Owariibacterium,Owariibacterium komagatae,88,1,1,0.9,0.9,Owariibacterium komagatae,TRUE
2981779,Anaerostipes amylophilus,286014,0.0181794259650514,286916.3,0.0182367758113806,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes amylophilus,Anaerostipes,Anaerostipes amylophilus,16,1,1,0.98,0.1,"Anaerostipes amylophilus, Anaerostipes sp., Anaerostipes sp. Marseille-Q3525",TRUE
2293009,Clostridium sp. AF29-8BH,278276.333333333,0.0176876096962363,278935.6,0.0177295169480303,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. AF29-8BH,Clostridium,Clostridium sp. AF29-8BH,32,0.92,1,0.98,0.04,"Clostridium fessum, Clostridium segne, Clostridium sp. AF02-29, Clostridium sp. AF21-20LB, Clostridium sp. AF24-2LB, Clostridium sp. AF29-8BH, Clostridium sp. AF32-7AC, Clostridium sp. AF35-15, Clostridium sp. AF50-3",TRUE
