"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
2714353,"Vescimonas fastidiosa",5396077,0.341191738674632,5390616.7,0.34084648626149,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Vescimonas","Vescimonas fastidiosa","Vescimonas","Vescimonas fastidiosa",81,0.96,0.96,0.7,0.5,"Vescimonas fastidiosa"
29347,"[Clostridium] scindens",1273377,0.0805151061814512,1271594.4,0.0804023914135977,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","[Clostridium] scindens","Lachnoclostridium","[Clostridium] scindens",61,0.98,0.98,0.4,0.38,"[Clostridium] scindens"
853,"Faecalibacterium prausnitzii",788411,0.0498509046257504,777742.5,0.0491763371916838,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii","Faecalibacterium","Faecalibacterium prausnitzii",78,0.96,0.98,0.92,0.12,"Faecalibacterium prausnitzii"
817,"Bacteroides fragilis",748220,0.0473096441565109,717091.1,0.0453413786441566,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides","Bacteroides fragilis",55,0.9,0.98,0.4,0.14,"Bacteroides fragilis"
2981728,"Huintestinicola butyrica",720862,0.045579809021345,723751,0.0457624812406025,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Huintestinicola","Huintestinicola butyrica","Huintestinicola","Huintestinicola butyrica",35,0.98,0.98,0.92,0.34,"Huintestinicola butyrica, Huintestinicola sp."
871665,"Blautia faecis",594775,0.037607379651959,593297.9,0.0375139819014987,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia faecis","Ruminococcus","Blautia faecis",32,0.96,0.98,1,0.98,"Ruminococcus sp. 1001136sp1, Ruminococcus sp. 1001136sp1_2201st1_G3_2201SCRN_220225, Ruminococcus sp. 1001713B170214_170313_A12, Ruminococcus sp. J1101004sp1_RTP21198st1_B9_RTP21198_201120, Ruminococcus sp. RTP21358st1_G6_RTP21358_211008"
36656,"Penicillium crustosum",542153,0.0342801121440016,542131.4,0.0342787434251215,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium crustosum","Penicillium","Penicillium crustosum",27,1,1,0.74,0.04,"Penicillium crustosum"
2981779,"Anaerostipes amylophilus",467759,0.0295762099930574,468539,0.0296255270124356,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes amylophilus","Anaerostipes","Anaerostipes amylophilus",29,0.96,0.96,1,0.14,"Anaerostipes amylophilus, Anaerostipes hadrus, Anaerostipes sp., Anaerostipes sp. Marseille-Q3525"
2981792,"Oscillibacter acetigenes",410234,0.025938927803189,411260.6,0.0260038385184449,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter acetigenes","Oscillibacter","Oscillibacter acetigenes",50,0.92,0.94,1,1,"Oscillibacter acetigenes, Oscillibacter sp., Oscillibacter sp. KLE 1728, Oscillibacter sp. PEA192"
2292959,"Blautia sp. AF17-9LB",357663,0.0226148850043439,362026.7,0.0228908003166149,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp. AF17-9LB","Blautia","Blautia sp. AF17-9LB",41,0.98,1,0.98,0.96,"Blautia sp. AF17-9LB"
