TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,best_hit_species,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,species_group_names,blast_validated
291644,Bacteroides salyersiae,2433533,0.150983835425074,2430342.3,0.150785874387306,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,Bacteroides,Bacteroides salyersiae,38,1,1,1,0.18,"Bacteroides salyersiae, Bacteroides sp. CAG:189",TRUE
33038,Mediterraneibacter gnavus,2354169,0.146059849962507,2341876.7,0.145297197018698,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter gnavus,Mediterraneibacter,Mediterraneibacter gnavus,35,0.96,0.96,0.22,0.22,Mediterraneibacter gnavus,TRUE
214851,Subdoligranulum variabile,1707169,0.105917989745275,1712485.6,0.106247846174319,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Subdoligranulum,Subdoligranulum variabile,Subdoligranulum,Subdoligranulum variabile,56,1,1,0.66,0.42,"Subdoligranulum variabile, uncultured Subdoligranulum sp.",TRUE
2292357,Faecalibacterium sp. OM04-11BH,1499213,0.0930157630322379,1499307.1,0.0930216029088902,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium sp. OM04-11BH,Faecalibacterium,Faecalibacterium sp. OM04-11BH,49,0.98,1,0.98,0.14,"Faecalibacterium prausnitzii, Faecalibacterium sp. I3-3-33, Faecalibacterium sp. I4-1-79, Faecalibacterium sp. IP-1-18, Faecalibacterium sp. OM04-11BH, Faecalibacterium tardum",TRUE
330879,Aspergillus fumigatus,1243803,0.0771693449208262,1243778.1,0.0771677970714534,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,Aspergillus,Aspergillus fumigatus,18,1,1,0.86,0.08,Aspergillus fumigatus,TRUE
573,Klebsiella pneumoniae,588638,0.0365209031136806,558462.4,0.0346487190705496,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Klebsiella,Klebsiella pneumoniae,135,0.78,0.84,1,0.36,"Klebsiella pneumoniae, Klebsiella sp. 75989, Klebsiella sp. 80660, Klebsiella sp. 81231, Klebsiella sp. R12, Klebsiella sp. R32, Klebsiella sp. R61",TRUE
40519,Ruminococcus callidus,568134,0.035248772198852,566216.4,0.0351297971298158,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus callidus,Ruminococcus,Ruminococcus callidus,21,1,1,0.9,0.12,"Ruminococcus callidus, Ruminococcus sp. OM06-36AC",TRUE
40520,Blautia obeum,557071,0.0345623898192797,550812.6,0.0341740973139937,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Blautia,Blautia obeum,81,0.86,0.96,1,0.42,"Blautia obeum, Blautia schinkii, Blautia sp. 210820-DFI.6.14",TRUE
5068,Aspergillus tubingensis,407713,0.0252957623720998,407364.7,0.0252741505744739,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus,Aspergillus tubingensis,12,1,1,0.98,0,"Aspergillus costaricensis, Aspergillus eucalypticola, Aspergillus luchuensis, Aspergillus neoniger, Aspergillus niger, Aspergillus piperis, Aspergillus tubingensis, Aspergillus vadensis, Aspergillus welwitschiae",TRUE
1872530,Anaerostipes sp.,379414,0.0235400057997853,381567.6,0.0236736208862547,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp.,Anaerostipes,Anaerostipes sp.,16,0.98,0.98,1,0.06,"Anaerostipes amylophilus, Anaerostipes sp., Anaerostipes sp. Marseille-Q3525",TRUE
821,Phocaeicola vulgatus,358446,0.0222390869048318,323912.1,0.0200964960674214,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Phocaeicola,Phocaeicola vulgatus,62,0.94,0.98,0.94,0.28,"Phocaeicola sp. RTP21359st1_B8_RTP21360_211022, Phocaeicola sp. RTP21359st1_E3_RTP21360_211022, Phocaeicola sp. RTP21359st1_F5_RTP21360_211022, Phocaeicola sp. RTP21359st1_F7_RTP21360_211022, Phocaeicola vulgatus",TRUE
1150298,Fusicatenibacter saccharivorans,294321,0.0182605756429615,299577.9,0.0185867323243076,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Blautia,Fusicatenibacter saccharivorans,63,0.92,0.94,1,1,Blautia acetigignens,TRUE
46503,Parabacteroides merdae,273371,0.0169607735230991,304512.6,0.0188928945963201,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,Parabacteroides,Parabacteroides merdae,24,0.98,0.98,0.92,0.08,"Parabacteroides merdae, Parabacteroides sp. merdae-related_45_40",TRUE
1108849,Penicillium rubens,264503,0.0164105756615745,264073.1,0.0163839028644894,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium rubens,Penicillium,0,23,1,1,1,0,"Penicillium chrysogenum, Penicillium mononematosum, Penicillium rubens",TRUE
2292192,Bacteroides sp. AF16-49,229667,0.0142492436020265,230135.8,0.0142783280005751,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AF16-49,Bacteroides,0,51,1,1,1,0.14,"Bacteroides sp. AF16-49, Bacteroides sp. OM05-12",TRUE
626937,Christensenella minuta,195294,0.0121166374795429,195830.6,0.0121499304981684,Bacteria,Bacillota,Clostridia,Christensenellales,Christensenellaceae,Christensenella,Christensenella minuta,Christensenella,Christensenella minuta,24,1,1,0.4,0.16,Christensenella minuta,TRUE
562,Escherichia coli,188594,0.0117009489734293,203863.7,0.0126483286775722,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia,Escherichia coli,89,0.86,0.88,1,0.72,Escherichia coli,TRUE
1351,Enterococcus faecalis,183065,0.0113579128912947,182964.7,0.0113516911280382,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus,Enterococcus faecalis,89,0.9,0.92,1,0.14,Enterococcus faecalis,TRUE
1304,Streptococcus salivarius,162292,0.0100690923931609,162456.8,0.0100793161323414,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,Streptococcus,Streptococcus salivarius,40,0.98,1,1,0,"Streptococcus salivarius, Streptococcus sp. FSL K6-1323, Streptococcus sp. FSL W7-1342, Streptococcus sp. HMSC064D12, Streptococcus sp. HMSC072D03, Streptococcus sp. MSK15_114, Streptococcus sp. SS6, Streptococcus sp. SS9",TRUE
1871024,Mordavella massiliensis,130466,0.008094509946061,119161.6,0.0073931513841441,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Mordavella,Mordavella massiliensis,Claveliimonas,Mordavella massiliensis,83,1,1,0.9,0.9,"Claveliimonas bilis, Claveliimonas sp.",TRUE
594,Salmonella enterica,130416,0.00809140779303031,144622,0.00897279225222083,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,Salmonella,Salmonella enterica,44,1,1,0.96,0,"Salmonella enterica, Salmonella sp. 741265136_HSA, Salmonella sp. A1486, Salmonella sp. SAL4441",TRUE
1033731,Alistipes timonensis,125165,0.0077656196817464,125204.1,0.00776804276235078,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes timonensis,Alistipes,Alistipes timonensis,19,1,1,0.84,0.02,Alistipes timonensis,TRUE
