"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
1955243,"Blautia sp.",3269562,0.202331567965347,3185662.2,0.197139563783374,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp.","Blautia","0",41,0.28,1,1,0.08,"Blautia caccae, Blautia celeris, Blautia parvula, Blautia sp. AF13-16, Blautia sp. C3-R-101, Blautia sp. ICN-22010, Blautia sp. JLR.GB0024, Blautia sp. NSJ-159, Blautia sp. NSJ-175, Blautia sp. OF01-4LB"
40520,"Blautia obeum",2075063,0.128411925027535,2073992.3,0.128345664775926,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia","Blautia obeum",75,0.94,0.98,0.98,0.34,"Blautia obeum, Blautia schinkii, Blautia sp. 210820-DFI.6.14"
36656,"Penicillium crustosum",1712194,0.105956362558918,1712192.4,0.105956265427086,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium crustosum","Penicillium","Penicillium crustosum",19,1,1,0.84,0.02,"Penicillium crustosum"
47678,"Bacteroides caccae",1389781,0.0860043543625869,1377374.8,0.0852366139802163,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae","Bacteroides","Bacteroides caccae",43,0.94,1,0.98,0.08,"Bacteroides caccae, Bacteroides sp., Bacteroides sp. 43_46"
105841,"Anaerostipes caccae",857348,0.0530555973956006,852199.4,0.0527369824375297,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes caccae","Anaerostipes","Anaerostipes caccae",19,0.98,0.98,1,0.06,"Anaerostipes caccae, Anaerostipes sp. AF04-45, Anaerostipes sp. CAG:276"
33035,"Blautia producta",758288,0.0469254291581892,761118.5,0.04710058825857,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia producta","Blautia","Blautia producta",47,0.92,0.98,0.6,0.26,"Blautia producta"
301301,"Roseburia hominis",746438,0.0461921110316666,733392.5,0.0453848122012287,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia hominis","Roseburia","Roseburia hominis",68,0.98,1,0.44,0.4,"Roseburia hominis"
818,"Bacteroides thetaiotaomicron",695861,0.0430622350076049,706236.8,0.0437043255826405,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides","Bacteroides thetaiotaomicron",29,0.96,1,1,0.06,"Bacteroides sp. 1_1_14, Bacteroides sp. AM23-12, Bacteroides sp. AR20, Bacteroides sp. B1-V-101, Bacteroides thetaiotaomicron"
1150298,"Fusicatenibacter saccharivorans",615279,0.038075547980479,625536.2,0.0387103009405455,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans","Blautia","Fusicatenibacter saccharivorans",70,0.8,0.82,0.98,0.98,"Blautia faecis, Blautia sp. AF17-9LB, Blautia sp. AF19-13LB, Blautia sp. AF34-10, Blautia sp. OF09-25XD, Blautia sp. OF11-22, Blautia sp. TM10-2"
2949654,"Blautia sp. C3-R-101",421613,0.0260908401078108,494298.8,0.0305888845935163,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp. C3-R-101","Blautia","Blautia sp. NSJ-165",61,1,1,1,0.34,"Blautia celeris, Blautia parvula, Blautia sp. AF13-16, Blautia sp. C3-R-101, Blautia sp. ICN-22010, Blautia sp. LMAG:75, Blautia sp. NSJ-159, Blautia sp. NSJ-165, Blautia sp. OF01-4LB"
