"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion","domain","phylum","class","order","family","genus","species","best_hit_genus","best_hit_species","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","species_group_names"
28116,"Bacteroides ovatus",4370852,0.269608648346434,4233007.8,0.261105962034634,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus","Bacteroides","Bacteroides ovatus",78,0.78,1,1,0.16,"Bacteroides caccae, Bacteroides finegoldii, Bacteroides fragilis, Bacteroides hominis, Bacteroides stercoris, Bacteroides uniformis"
1653434,"Sellimonas intestinalis",1857016,0.114546906122125,1856189.1,0.114495897804731,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Sellimonas","Sellimonas intestinalis","Sellimonas","Sellimonas intestinalis",39,0.94,0.94,0.4,0.36,"Sellimonas intestinalis"
2292928,"Bacteroides sp. AF29-11",1313740,0.0810358405360428,1285496.7,0.07929369727583,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. AF29-11","Bacteroides","Bacteroides uniformis",57,0.72,1,1,0.08,"Bacteroides sp., Bacteroides sp. AF04-22, Bacteroides sp. AF29-11, Bacteroides sp. AM07-18, Bacteroides sp. D20, Bacteroides sp. RTP31139st1_H2_RTP31139_211217, Bacteroides uniformis"
2838470,"Candidatus Bacteroides intestinigallinarum",814215,0.0502234817407205,947622.6,0.0584525077086018,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Candidatus Bacteroides intestinigallinarum","Bacteroides","Candidatus Bacteroides intestinigallinarum",50,0.96,1,1,0.02,"Bacteroides sp. AF26-7BH, Bacteroides sp. AF27-33, Bacteroides sp. M10, Bacteroides sp. OF02-3LB, Bacteroides sp. OM05-10AA, Candidatus Bacteroides intestinigallinarum"
2292972,"Blautia sp. AM28-10",750391,0.0462866057330078,745410.7,0.0459794063137479,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp. AM28-10","Blautia","Blautia sp. AM28-36",83,0.6,1,1,0.7,"Blautia sp. AF17-9LB, Blautia sp. AF19-1, Blautia sp. AM28-36, Blautia sp. AM42-2, Blautia sp. OF03-13, Blautia sp. OF09-25XD, Blautia sp. OF11-22, Blautia sp. TF10-30, Blautia sp. TF12-12AT"
2584645,"Faecalibacterium sp. BIOML-A1",687596,0.0424132018582223,689217.5,0.0425132200760541,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium sp. BIOML-A1","Faecalibacterium","Faecalibacterium sp. BIOML-A1",37,1,1,1,0,"Faecalibacterium prausnitzii, Faecalibacterium sp., Faecalibacterium sp. BIOML-A1, Faecalibacterium sp. BIOML-A2, Faecalibacterium sp. BIOML-A4, Faecalibacterium sp. i20-0019-C2, Faecalibacterium taiwanense, uncultured Faecalibacterium sp."
1304,"Streptococcus salivarius",611100,0.0376946748607607,611090.6,0.0376940923569339,"Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius","Streptococcus","Streptococcus salivarius",48,1,1,1,0.02,"Streptococcus salivarius, Streptococcus sp. FSL K6-1323, Streptococcus sp. FSL W7-1342, Streptococcus sp. HMSC064D12, Streptococcus sp. HMSC072D03, Streptococcus sp. MSK15_114, Streptococcus sp. SS6, Streptococcus sp. SS9"
330879,"Aspergillus fumigatus",562304,0.0346847757370401,562278.7,0.0346832140875014,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus fumigatus","Aspergillus","Aspergillus fumigatus",23,1,1,0.74,0.08,"Aspergillus fumigatus"
2831966,"Ruminococcus sp. FMBCY1",408551,0.0252007807380767,407113.2,0.0251120920799542,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. FMBCY1","Ruminococcus","Ruminococcus sp. FMB-CY1",33,0.98,1,1,0.36,"Ruminococcus intestinalis, Ruminococcus sp., Ruminococcus sp. BSD2780120874_150323_B10, Ruminococcus sp. FMB-CY1, Ruminococcus sp. FMBCY1"
858893,"Exophiala dermatitidis",386584,0.023845783319215,386583.5,0.023845749841951,"Eukaryota","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala dermatitidis","Exophiala","Exophiala dermatitidis",10,1,1,0.1,0.1,"Exophiala dermatitidis"
594,"Salmonella enterica",296598,0.01829514837891,292173,0.0180221983836969,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","Salmonella","Salmonella enterica",141,0.78,0.78,1,0.34,"Salmonella enterica, Salmonella sp. 741265118_HBA, Salmonella sp. A13141"
2292192,"Bacteroides sp. AF16-49",280299,0.0172897719993395,276788.2,0.0170732129698582,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. AF16-49","Bacteroides","Bacteroides sp. AF16-49",44,0.96,1,0.96,0.22,"Bacteroides sp. AF16-49, Bacteroides sp. OM05-12"
1229621,"Anaerostipes rhamnosivorans",272010,0.0167784789868688,271290.8,0.0167341191827921,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes rhamnosivorans","Anaerostipes","Anaerostipes rhamnosivorans",32,0.96,0.98,0.34,0.08,"Anaerostipes rhamnosivorans"
84024,"Clostridium disporicum",249780,0.0154072588557042,249765.2,0.0154063453647171,"Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium disporicum","Clostridium","Clostridium disporicum",23,1,1,1,0.06,"Clostridium disporicum, Clostridium sp., Clostridium sp. ETTB3"
36656,"Penicillium crustosum",238044,0.0146833434504253,237844.3,0.0146710235429348,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium crustosum","Penicillium","Penicillium crustosum",22,1,1,0.78,0,"Penicillium crustosum"
88431,"Dorea longicatena",232821,0.0143611714870842,234306.6,0.0144528077033496,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","Dorea longicatena","Dorea","Dorea longicatena",38,0.92,0.94,0.98,0.18,"Dorea amylophila, Dorea longicatena, Dorea sp., Dorea sp. BIOML-A1, Dorea sp. MB18-49"
89153,"[Clostridium] hylemonae",205301,0.0126636466103568,205396.1,0.0126695110771979,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","[Clostridium] hylemonae","Lachnoclostridium","[Clostridium] hylemonae",20,1,1,0.4,0.4,"[Clostridium] hylemonae"
2292920,"Bacteroides sp. AF18-33",201960,0.0124575626491233,231188.1,0.0142604460232247,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. AF18-33","Bacteroides","Bacteroides sp. AF18-33",88,0.58,1,1,0.34,"Bacteroides sp., Bacteroides sp. AF26-10BH, Bacteroides sp. AF33-23, Bacteroides sp. AF37-16AC, Bacteroides sp. D20, Bacteroides sp. RTP31139st1_H2_RTP31139_211217, Bacteroides uniformis"
