TaxonomyID,Genome,read_count,Proportion,readsEM,EMProportion,domain,phylum,class,order,family,genus,species,best_hit_genus,best_hit_species,uniqueness_score,species_percentage_hit,genus_percentage_hit,species_contaminant_score,genus_contaminant_score,species_group_names,blast_validated
649756,Anaerostipes hadrus,2520955,0.157970529354218,2517583.5,0.157759263754809,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,Anaerostipes,Anaerostipes hadrus,24,0.979591836734694,0.979591836734694,0.448979591836735,0.163265306122449,Anaerostipes hadrus,TRUE
1160721,Ruminococcus bicirculans (ex Wegman et al. 2014),2354479,0.147538648640452,2353826.9,0.147497788676704,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus,Ruminococcus bicirculans (ex Wegman et al. 2014),24,0.98,1,1,0.94,"Ruminococcus bicirculans (ex Wegman et al. 2014), Ruminococcus sp. AM31-15AC, Ruminococcus sp. CAG:57, Ruminococcus sp. N15.MGS-57, Ruminococcus sp. RTP21198st1_G1_RTP21198_201120, Ruminococcus sp. TM463",TRUE
1196081,Talaromyces amestolkiae,1355322,0.0849285028036666,1355296.2,0.0849268866324242,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces amestolkiae,Talaromyces,Talaromyces amestolkiae,4,1,1,0.22,0.02,Talaromyces amestolkiae,TRUE
817,Bacteroides fragilis,1165199,0.0730148308212584,1165037.4,0.0730047074171961,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides,Bacteroides fragilis,13,1,1,0.16,0.02,Bacteroides fragilis,TRUE
1596,Lactobacillus gasseri,992818,0.0622129252653839,992119.5,0.0621691521492219,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Lactobacillus,Lactobacillus gasseri,20,0.98,1,0.72,0.02,Lactobacillus gasseri,TRUE
2012495,Lactobacillus panisapium,871120,0.0545869670545672,871683.2,0.0546222588402717,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus panisapium,Lactobacillus,Lactobacillus panisapium,14,1,1,0.96,0,"Lactobacillus panisapium, Lactobacillus sp. B4005, Lactobacillus sp. B4007, Lactobacillus sp. B4010, Lactobacillus sp. B4012, Lactobacillus sp. B4015, Lactobacillus sp. B4026",TRUE
5068,Aspergillus tubingensis,756300,0.0473920047563701,755569.1,0.0473462038368401,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus tubingensis,Aspergillus,Aspergillus tubingensis,12,1,1,0.92,0.02,"Aspergillus costaricensis, Aspergillus eucalypticola, Aspergillus luchuensis, Aspergillus neoniger, Aspergillus niger, Aspergillus piperis, Aspergillus tubingensis, Aspergillus vadensis, Aspergillus welwitschiae",TRUE
180164,Blautia schinkii,569237,0.0356700814643685,525983.6,0.0329596937910292,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia schinkii,Blautia,Blautia faecis,98,0.34,1,1,0.74,"Blautia faecis, Blautia glucerasea",FALSE
853,Faecalibacterium prausnitzii,518650,0.0325001497645,509633,0.0319351165538879,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,Faecalibacterium,Faecalibacterium prausnitzii,73,1,1,0.98,0.16,"Faecalibacterium prausnitzii, Faecalibacterium sp. I3-3-33, Faecalibacterium sp. I4-1-79, Faecalibacterium sp. IP-1-18, Faecalibacterium sp. OM04-11BH, Faecalibacterium tardum",TRUE
3144490,Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408,401061,0.0251316737003763,399009.9,0.0250031445133094,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408,Blautia,Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408,71,0.98,1,0.9,0.2,"Blautia ammoniilytica, Blautia sp. 1033sp1_1033st1_G9_1033SCRN_220408",TRUE
301301,Roseburia hominis,263182,0.0164917659603213,262703,0.0164617477825355,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia hominis,Roseburia,Roseburia hominis,47,0.96,0.98,0.42,0.32,Roseburia hominis,TRUE
2292960,Blautia sp. AF19-1,269209,0.0168694356848574,265871.4,0.0166602926897779,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp. AF19-1,Blautia,Blautia sp. AF19-1,66,0.98,1,0.98,0.84,"Blautia sp. AF17-9LB, Blautia sp. AF19-1, Blautia sp. AF19-13LB, Blautia sp. OF09-25XD, Blautia sp. OF11-22, Blautia sp. TM10-2",TRUE
562,Escherichia coli,242358,0.0151868722580251,242239,0.0151794129254782,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia,Escherichia coli,64,0.84,0.88,0.66,0.46,Escherichia coli,TRUE
39491,Agathobacter rectalis,231691,0.0145184463493431,237609.8,0.0148893358409167,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter,Agathobacter rectalis,37,0.94,0.94,0.94,0.24,"Agathobacter rectalis, Agathobacter sp.",TRUE
328813,Alistipes onderdonkii,228239,0.0143021337744138,228249.2,0.0143027736201428,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes,Alistipes onderdonkii,18,1,1,0.84,0.02,Alistipes onderdonkii,TRUE
5480,Candida parapsilosis,223308,0.013993142665788,223304.9,0.0139929463052505,Eukaryota,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida parapsilosis,Candida,Candida parapsilosis,12,1,1,0.32,0.08,Candida parapsilosis,TRUE
2293160,Ruminococcus sp. AF20-12LB,210760,0.0132068477091796,220645.8,0.0138263215782728,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp. AF20-12LB,Blautia,Ruminococcus sp. AF20-12LB,73,0.94,0.96,0.94,0.94,"Blautia fusiformis, Blautia massiliensis (ex Durand et al. 2017), Blautia massiliensis (ex Liu et al. 2021), Blautia sp. 2227st1_G12_2227SCRN_220401, Blautia sp. NSJ-140, Blautia sp. NSJ-157, Blautia sp. SC05B48",TRUE
239935,Akkermansia muciniphila,175662,0.0110075027628104,175656.7,0.0110071695655805,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia,Akkermansia muciniphila,10,1,1,1,0.02,"Akkermansia muciniphila, Akkermansia sp. 54_46, Akkermansia sp. UBA7059, Akkermansia sp. UNK.MGS-1",TRUE
437897,Megamonas funiformis,166107,0.0104087580775702,166103.9,0.0104085638848605,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,Megamonas,Megamonas funiformis,7,1,1,0.775510204081633,0.0204081632653061,Megamonas funiformis,TRUE
